en	phntc	id	ati	cc
conciliate	kən@silieit	1104	@k-en@s-ei@l-@t-	肯nonex了nonex
conciliatory	kən@siliətəri	1105	@k-en@s-ei@l-ei@t-a@rw-ei	肯nonex雷他锐
concise	kən@sais	1106	@k-en@s-ai@s-	肯腮嘶
conclave	kɔŋkleiv	1107	@k-eo@ng-@k-@l-ei@v-	侃nonex磕雷nonex
conclusive	kən@klu:siv	1108	@k-en@k-@l-u@s-ei@v-	肯磕nonexnonexnonex
concomitant	kən@kɔmitənt	1109	@k-en@k-eo@-ei@t-en@t-	肯侃nonex疼nonex
concord	kɔŋkɔ:d	1110	@k-eo@ng-@k-eo@d-	侃nonex侃的
concrete	kɔnkri:t	1111	@k-@k-@rw-ei@t-	磕磕锐nonex
concur	kən@kə:	1112	@k-en@k-a	肯劾
concussion	kən@kʌʃən	1113	@k-en@k-a@sh-en	肯劾申
condemn	kən@dem	1114	@k-en@d-e@-	肯丹
condense	kən@dens	1115	@k-en@d-@s-	肯的嘶
condescend	kɔndi@send	1116	@k-@d-ei@s-@d-	磕nonex嘶的
condescending	kɔndi@sendiŋ	1117	@k-@d-ei@s-@d-ei@ng-	磕nonex嘶nonexnonex
condone	kən@dəun	1118	@k-en@d-	肯的
conducive	kən@dju:siv	1119	@k-en@d-@y-u@s-ei@v-	肯的豫nonexnonex
conduct	kɔndʌkt@ kən@dʌkt	1120	@k-@d-a@k-@t-@-@k-en@d-a@k-@t-	磕搭磕nonex肯搭磕nonex
conduit	kɔndit	1121	@k-@d-ei@t-	磕nonexnonex
cone	kəun	1122	@k-	磕
confection	kən@fekʃən	1123	@k-en@f-e@k-@sh-en	肯帆磕申
confederacy	kən@fedərəsi	1124	@k-en@f-e@d-a@rw-a@s-ei	肯帆搭若nonex
confer	kən@fə:	1125	@k-en@f-a	肯发
conference	kɔnfərəns	1126	@k-@f-a@rw-en@s-	磕发nonex嘶
confess	kən@fes	1127	@k-en@f-e@s-	肯帆嘶
confide	kən@faid	1128	@k-en@f-ai@d-	肯nonex的
confidence	kɔnfidəns	1129	@k-@f-ei@d-en@s-	磕飞灯嘶
confidential	kɔnfi@denʃəl	1130	@k-@f-ei@d-@sh-a@l-	磕飞的霎了
configuration	kən@fiɡju@reiʃən	1131	@k-en@f-ei@-@y-u@rw-ei@sh-en	肯飞豫锐申
confine	kɔnfain	1132	@k-@f-	磕肤
confirm	kən@fə:m	1133	@k-en@f-a@-	肯发
confiscate	kɔnfiskeit	1134	@k-@f-ei@s-@k-ei@t-	磕飞嘶nonexnonex
conflagration	kɔnflə@ɡreiʃən	1135	@k-@f-@l-a@-@rw-ei@sh-en	磕肤垃锐申
conflate	kən@fleit	1136	@k-en@f-@l-ei@t-	肯肤雷nonex
conflict	kɔnflikt@ kən@flikt	1137	@k-@f-@l-ei@k-@t-@-@k-en@f-@l-ei@k-@t-	磕肤雷磕nonex肯肤雷磕nonex
conform	kən@fɔ:m	1138	@k-en@f-eo@-	肯方
conformist	kɔn@fɔ:mist	1139	@k-@f-eo@-ei@s-@t-	磕方nonex嘶nonex
conformity	kən@fɔ:miti	1140	@k-en@f-eo@-ei@t-ei	肯方nonexnonex
confound	kən@faund	1141	@k-en@f-@d-	肯肤的
confront	kən@frʌnt	1142	@k-en@f-@rw-@t-	肯肤入nonex
congeal	kən@dʒi:l	1143	@k-en@d-@r-ei@l-	肯的nonex了
congenial	kən@dʒi:njəl	1144	@k-en@d-@r-@y-a@l-	肯的nonex丫了
congest	kən@dʒest	1145	@k-en@d-@r-e@s-@t-	肯的然嘶nonex
conglomerate	kɔn@ɡlɔmərit	1146	@k-@-@l-eo@-a@rw-ei@t-	磕郎啊锐nonex
congregate	kɔŋɡriɡeit	1147	@k-eo@ng-@-@rw-ei@-ei@t-	侃nonex锐nonexnonex
congruent	kɔŋɡruənt	1148	@k-eo@ng-@-@rw-@t-	侃nonex入nonex
congruous	kɔŋɡruəs	1149	@k-eo@ng-@-@rw-o@s-	侃nonexnonex嘶
conifer	kəunifə	1150	@k-@-ei@f-a	磕nonex发
conjecture	kən@dʒektʃə	1151	@k-en@d-@r-e@k-@t-@sh-a	肯的然磕nonex霎
conjoin	kən@dʒɔin	1152	@k-en@d-@r-	肯的nonex
conjunction	kən@dʒʌŋkʃən	1153	@k-en@d-@r-a@ng-@k-@sh-en	肯的热nonex磕申
conjure	kʌndʒə	1154	@k-@d-@r-a	磕的热
connive	kə@naiv	1155	@k-en@-ai@v-	肯哎nonex
connoisseur	kɔni@sə:	1156	@k-@-ei@s-a	磕nonex刹
connotation	kɔnəu@teiʃən	1157	@k-@-eu@t-ei@sh-en	磕nonexnonex申
conquer	kɔŋkə	1158	@k-eo@ng-@k-a	侃nonex劾
conquest	kɔŋkwest	1159	@k-eo@ng-@k-@v-e@s-@t-	侃nonex磕弯嘶nonex
conscience	kɔnʃəns	1160	@k-@sh-en@s-	磕申嘶
conscientious	kɔnʃi@enʃəs	1161	@k-@sh-ei@-@sh-a@s-	磕nonex霎嘶
conscript	kɔnskript	1162	@k-@s-@k-@rw-ei@p-@t-	磕嘶磕锐扑nonex
consensus	kən@sensəs	1163	@k-en@s-@s-a@s-	肯嘶刹嘶
consent	kən@sent	1164	@k-en@s-@t-	肯嘶nonex
consequence	kɔnsikwəns	1165	@k-@s-ei@k-@v-en@s-	磕nonex磕温嘶
consequential	kɔnsi@kwenʃəl	1166	@k-@s-ei@k-@v-@sh-a@l-	磕nonex磕nonex霎了
conservative	kən@sə:vətiv	1167	@k-en@s-a@v-a@t-ei@v-	肯刹戍nonexnonex
conservatory	kən@sə:vətri	1168	@k-en@s-a@v-a@t-@rw-ei	肯刹戍nonex锐
conserve	kən@sə:v	1169	@k-en@s-a@v-	肯刹nonex
considerable	kən@sidərəbl	1170	@k-en@s-ei@d-a@rw-a@b-@l-	肯nonex搭若不了
consign	kən@sain	1171	@k-en@s-	肯嘶
consistency	kən@sistənsi	1172	@k-en@s-ei@s-@t-en@s-ei	肯nonex嘶疼nonex
consistent	kən@sistənt	1173	@k-en@s-ei@s-@t-en@t-	肯nonex嘶疼nonex
console	kən@səul	1174	@k-en@s-eu@l-	肯搜了
consolidate	kən@sɔlideit	1175	@k-en@s-eo@l-ei@d-ei@t-	肯桑雷nonexnonex
consolidation	kən@sɔli@deiʃən	1176	@k-en@s-eo@l-ei@d-ei@sh-en	肯桑雷nonex申
consonant	kɔnsənənt	1177	@k-@s-en@-en@t-	磕森nonexnonex
conspicuous	kən@spikjuəs	1178	@k-en@s-@p-ei@k-@y-o@s-	肯嘶胚磕哟嘶
conspiracy	kən@spirəsi	1179	@k-en@s-@p-ei@rw-a@s-ei	肯嘶胚若nonex
conspire	kən@spaiə	1180	@k-en@s-@p-ai@-a	肯嘶拍啊
constant	kɔnstənt	1181	@k-@s-@t-en@t-	磕嘶疼nonex
constellation	kɔnstə@leiʃən	1182	@k-@s-@t-a@l-ei@sh-en	磕嘶他雷申
consternation	kɔnstə(:)@neiʃən	1183	@k-@s-@t-a@-@-@-ei@sh-en	磕嘶他nonex申
constituent	kən@stitjuənt	1184	@k-en@s-@t-ei@t-@y-@t-	肯嘶nonexnonex一nonex
constitute	kɔnstitju:t	1185	@k-@s-@t-ei@t-@y-u@t-	磕嘶nonexnonex豫nonex
constitution	kɔnsti@tju:ʃən	1186	@k-@s-@t-ei@t-@y-u@sh-en	磕嘶nonexnonex豫申
constitutional	kɔnsti@tju:ʃənəl	1187	@k-@s-@t-ei@t-@y-u@sh-en@-a@l-	磕嘶nonexnonex豫申啊了
constrain	kən@strein	1188	@k-en@s-@t-@rw-	肯嘶nonex入
constrained	kən@streind	1189	@k-en@s-@t-@rw-@d-	肯嘶nonex入的
constraint	kən@streint	1190	@k-en@s-@t-@rw-@t-	肯嘶nonex入nonex
constrict	kən@strikt	1191	@k-en@s-@t-@rw-ei@k-@t-	肯嘶nonex锐磕nonex
construct	kən@strʌkt	1192	@k-en@s-@t-@rw-a@k-@t-	肯嘶nonex若磕nonex
construe	kən@stru:	1193	@k-en@s-@t-@rw-u	肯嘶nonexnonex
consul	kɔnsəl	1194	@k-@s-a@l-	磕刹了
consummate	kən@sʌmit；@kɑnsəmet	1195	@k-en@s-a@-ei@t-@-@k-@-@s-a@-e@t-	肯刹nonexnonex磕刹鳄nonex
contact	kɔntækt	1196	@k-@t-e@k-@t-	磕贪磕nonex
contagious	kən@teidʒəs	1197	@k-en@t-ei@d-@r-a@s-	肯nonex的热嘶
contain	kən@tein	1198	@k-en@t-	肯nonex
containment	kən@teinmənt	1199	@k-en@t-@-en@t-	肯nonexnonexnonex
contaminate	kən@tæmineit	1200	@k-en@t-e@-@-ei@t-	肯贪nonexnonex
contemplate	kɔntempleit	1201	@k-@t-e@-@p-@l-ei@t-	磕贪扑雷nonex
contempt	kən@tempt	1202	@k-en@t-e@-@p-@t-	肯贪扑nonex
contemptible	kən@temptəbl	1203	@k-en@t-e@-@p-@t-a@b-@l-	肯贪扑他不了
contemptuous	kən@temptjuəs	1204	@k-en@t-e@-@p-@t-@y-o@s-	肯贪扑nonex哟嘶
contend	kən@tend	1205	@k-en@t-@d-	肯nonex的
content	kən@tent	1206	@k-en@t-@t-	肯nonexnonex
contented	kən@tentid	1207	@k-en@t-@t-ei@d-	肯nonexnonex的
contention	kən@tenʃən	1208	@k-en@t-@sh-en	肯nonex申
contentious	kən@tenʃəs	1209	@k-en@t-@sh-a@s-	肯nonex霎嘶
contest	kən@test	1210	@k-en@t-e@s-@t-	肯贪嘶nonex
context	kɔntekst	1211	@k-@t-e@k-@s-@t-	磕贪磕嘶nonex
contiguous	kən@tiɡjuəs	1212	@k-en@t-ei@-@y-o@s-	肯nonex哟嘶
continent	kɔntinənt	1213	@k-@t-@-en@t-	磕nonexnonexnonex
contingent	kən@tindʒənt	1214	@k-en@t-@d-@r-en@t-	肯nonex的人nonex
continuation	kən@tinju@eiʃən	1215	@k-en@t-@y-u@-ei@sh-en	肯nonex豫nonex申
contort	kən@tɔ:t	1216	@k-en@t-eo@t-	肯汤nonex
contraband	kɔntrə@bænd	1217	@k-@t-@rw-a@b-e@d-	磕nonex若掰的
contract	kɔntrækt@ kən@trækt	1218	@k-@t-@rw-e@k-@t-@-@k-en@t-@rw-e@k-@t-	磕nonex软磕nonex肯nonex软磕nonex
contradict	kɔntrə@dikt	1219	@k-@t-@rw-a@d-ei@k-@t-	磕nonex若nonex磕nonex
contradictory	kɔntrə@diktəri	1220	@k-@t-@rw-a@d-ei@k-@t-a@rw-ei	磕nonex若nonex磕他锐
contrast	kɔntræst	1221	@k-@t-@rw-e@s-@t-	磕nonex软嘶nonex
contravene	kɔntrə@vi:n	1222	@k-@t-@rw-a@v-	磕nonex若nonex
contrite	kɔntrait	1223	@k-@t-@rw-ai@t-	磕nonexnonexnonex
contrition	kən@triʃ(ə)n	1224	@k-en@t-@rw-ei@sh-@-a@-	肯nonex锐什啊
contrive	kən@traiv	1225	@k-en@t-@rw-ai@v-	肯nonexnonexnonex
contrived	kən@traivd	1226	@k-en@t-@rw-ai@v-@d-	肯nonexnonexnonex的
control	kən@trəul	1227	@k-en@t-@rw-eu@l-	肯nonexnonex了
controversial	kɔntrə@və:ʃəl	1228	@k-@t-@rw-a@v-a@sh-a@l-	磕nonex若戍霎了
controvert	kɔntrə@və:t	1229	@k-@t-@rw-a@v-a@t-	磕nonex若戍nonex
contumacious	kɔntju:@meiʃəs	1230	@k-@t-@y-u@-ei@sh-a@s-	磕nonex豫nonex霎嘶
conundrum	kə@nʌndrəm	1231	@k-en@-@d-@rw-a@-	肯的若
convalesce	kɔnvə@les	1232	@k-@v-a@l-e@s-	磕戍兰嘶
convalescent	kɔnvə@lesnt	1233	@k-@v-a@l-e@s-@t-	磕戍兰嘶nonex
convenience	kən@vi:njəns	1234	@k-en@v-@y-en@s-	肯nonex因嘶
conventional	kən@venʃənl	1235	@k-en@v-@sh-en@l-	肯nonex申了
converge	kən@və:dʒ	1236	@k-en@v-a@d-@r-	肯戍的nonex
convergent	kən@və:dʒənt	1237	@k-en@v-a@d-@r-en@t-	肯戍的人nonex
conversant	kən@və:sənt	1238	@k-en@v-a@s-en@t-	肯戍森nonex
converse	kən@və:s	1239	@k-en@v-a@s-	肯戍嘶
convert	kən@və:t@ @kɔnvə:t	1240	@k-en@v-a@t-@-@k-@v-a@t-	肯戍nonex磕戍nonex
convertible	kən@və:təbl	1241	@k-en@v-a@t-a@b-@l-	肯戍他不了
convex	kɔn@veks	1242	@k-@v-e@k-@s-	磕弯磕嘶
convey	kən@vei	1243	@k-en@v-ei	肯危
convict	kən@vikt@@kɔnvikt	1244	@k-en@v-ei@k-@t-@k-@v-ei@k-@t-	肯危磕nonex磕危磕nonex
conviction	kən@vikʃən	1245	@k-en@v-ei@k-@sh-en	肯危磕申
convince	kən@vins	1246	@k-en@v-@s-	肯nonex嘶
convivial	kən@viviəl	1247	@k-en@v-ei@v-ei@l-	肯危危了
conviviality	kən@vivi@æliti	1248	@k-en@v-ei@v-ei@-e@l-ei@t-ei	肯危危鳄雷nonex
convoke	kən@vəuk	1249	@k-en@v-eu@k-	肯nonex磕
convoluted	kɔnvəlju:tid	1250	@k-@v-a@l-@y-u@t-ei@d-	磕戍了豫nonex的
convulse	kən@vʌls	1251	@k-en@v-a@l-@s-	肯戍了嘶
convulsion	kən@vʌlʃən	1252	@k-en@v-a@l-@sh-en	肯戍了申
coop	ku:p	1253	@k-u@p-	枯扑
cooperate	kəu@ɔpəreit	1254	@k-eu@-eo@p-a@rw-ei@t-	抠nonex趴锐nonex
cooperative	kəu@ɔpərətiv	1255	@k-eu@-eo@p-a@rw-a@t-ei@v-	抠nonex趴若nonexnonex
coordinate	kəu@ɔ:dinit	1256	@k-eu@-eo@d-@-ei@t-	抠nonex的nonexnonex
copious	kəupjəs	1257	@k-eu@p-@y-a@s-	抠扑丫嘶
cord	kɔ:d	1258	@k-eo@d-	侃的
core	kɔ:	1259	@k-eo	侃
cornucopia	kɔ:nju@kəupjə	1260	@k-@y-u@k-eu@p-@y-a	磕豫抠扑丫
coronation	kɔrə@neiʃ(ə)n	1261	@k-eo@rw-en@-ei@sh-@-a@-	侃nonexnonex什啊
corporate	kɔ:pərit	1262	@k-eo@p-a@rw-ei@t-	侃趴锐nonex
corporeal	kɔ:@pɔ:riəl	1263	@k-eo@p-eo@rw-ei@l-	侃乓锐了
corpuscle	kɔ:pʌs(ə)l	1264	@k-eo@p-a@s-@-a@-@l-	侃趴嘶啊了
corral	kɔ@rɑ:l	1265	@k-eo@rw-a@l-	侃若了
correspondent	kɔris@pɔndənt	1266	@k-eo@rw-ei@s-@p-@d-en@t-	侃锐嘶扑灯nonex
corroborate	kə@rɔbəreit	1267	@k-a@rw-eo@b-a@rw-ei@t-	劾nonex八锐nonex
corrode	kə@rəud	1268	@k-a@rw-eu@d-	劾nonex的
corrosive	kə@rəusiv	1269	@k-a@rw-eu@s-ei@v-	劾nonexnonexnonex
corrugate	kɔruɡeit	1270	@k-eo@rw-u@-ei@t-	侃nonexnonexnonex
corrugated	kɔrəɡeitid	1271	@k-eo@rw-a@-ei@t-ei@d-	侃若nonexnonex的
corrupt	kə@rʌpt	1272	@k-a@rw-a@p-@t-	劾若扑nonex
cosmic	kɔzmik	1273	@k-eo@z-@-ei@k-	侃nonexnonex磕
cosmopolitan	kɔzmə@pɔlitən	1274	@k-eo@z-@-a@p-eo@l-ei@t-en	侃nonex啊乓雷疼
cosmopolitanism	kɔzmə@pɔlitənizəm	1275	@k-eo@z-@-a@p-eo@l-ei@t-en@-ei@z-a@-	侃nonex啊乓雷疼nonex伸
cosmos	kɔzmɔs	1276	@k-eo@z-@-eo@s-	侃nonexnonex嘶
cosset	kɔsit	1277	@k-eo@s-ei@t-	侃nonexnonex
costume	kɔstju:m	1278	@k-eo@s-@t-@y-u@-	侃嘶nonex豫
coterie	kəutəri	1279	@k-eu@t-a@rw-ei	抠他锐
coterminous	kəu@tə:minəs	1280	@k-eu@t-a@-@-a@s-	抠他啊嘶
cougar	couɡar	1281	@-@-u@-@rw-	无入
countenance	kauntinəns	1282	@k-@t-@-en@s-	磕nonexnonex嘶
counteract	kauntə@rækt	1283	@k-@t-a@rw-e@k-@t-	磕他软磕nonex
counterbalance	kauntə@bæləns	1284	@k-@t-a@b-e@l-en@s-	磕他掰棱嘶
counterfeit	kauntəfit	1285	@k-@t-a@f-ei@t-	磕他飞nonex
countermand	kauntə@mɑ:nd	1286	@k-@t-a@-@d-	磕他的
counterpart	kauntəpɑ:t	1287	@k-@t-a@p-a@t-	磕他趴nonex
counterproductive	kautəprə@dʌktiv	1288	@k-ao@t-a@p-@rw-a@d-a@k-@t-ei@v-	考他扑若搭磕nonexnonex
coup	ku:	1289	@k-u	枯
court	kɔ:t	1290	@k-eo@t-	侃nonex
covenant	kʌvənənt	1291	@k-a@v-en@-en@t-	劾温nonexnonex
covert	kʌvət	1292	@k-a@v-a@t-	劾戍nonex
covet	kʌvit	1293	@k-a@v-ei@t-	劾危nonex
cow	kau	1294	@k-ao	考
coward	kauəd	1295	@k-ao@-a@d-	考啊的
cower	kauə	1296	@k-ao@-a	考啊
coy	kɔi	1297	@k-eo	侃
cozen	kʌzn	1298	@k-a@z-	劾nonex
crab	kræb	1299	@k-@rw-e@b-	磕软不
crabbed	kræbid	1300	@k-@rw-e@b-ei@d-	磕软杯的
crack	kræk	1301	@k-@rw-e@k-	磕软磕
craft	krɑ:ft	1302	@k-@rw-a@f-@t-	磕若肤nonex
cram	kræm	1303	@k-@rw-e@-	磕软
cramp	kræmp	1304	@k-@rw-e@-@p-	磕软扑
cranky	kræŋki	1305	@k-@rw-e@ng-@k-ei	磕软nonexnonex
crass	kræs	1306	@k-@rw-e@s-	磕软嘶
crate	kreit	1307	@k-@rw-ei@t-	磕锐nonex
crater	kreitə	1308	@k-@rw-ei@t-a	磕锐他
cravat	krə@væt	1309	@k-@rw-a@v-e@t-	磕若弯nonex
craven	kreivən	1310	@k-@rw-ei@v-en	磕锐温
craving	kreiviŋ	1311	@k-@rw-ei@v-ei@ng-	磕锐危nonex
crayon	kreiən	1312	@k-@rw-ei@-en	磕锐nonex
crease	kri:s	1313	@k-@rw-ei@s-	磕锐嘶
credence	kri:dəns	1314	@k-@rw-ei@d-en@s-	磕锐灯嘶
credible	kredəbl	1315	@k-@rw-e@d-a@b-@l-	磕软搭不了
credit	kredit	1316	@k-@rw-e@d-ei@t-	磕软nonexnonex
credulous	kredjuləs	1317	@k-@rw-e@d-@y-u@l-a@s-	磕软的豫垃嘶
creek	kri:k	1318	@k-@rw-ei@k-	磕锐磕
creep	kri:p	1319	@k-@rw-ei@p-	磕锐扑
crescendo	kri@ʃendəu	1320	@k-@rw-ei@sh-@d-eu	磕锐什都
crest	krest	1321	@k-@rw-e@s-@t-	磕软嘶nonex
crestfallen	krestfɔ:lən	1322	@k-@rw-e@s-@t-@f-eo@l-en	磕软嘶nonex方棱
cringe	krindʒ	1323	@k-@rw-@d-@r-	磕入的nonex
cringing	krindʒiŋ	1324	@k-@rw-@d-@r-ei@ng-	磕入的nonexnonex
criteria	krai@tiəriə	1325	@k-@rw-ai@t-ei@rw-ei	磕nonexnonex锐
criterion	krai@tiəriən	1326	@k-@rw-ai@t-ei@rw-	磕nonexnonex入
critic	kritik	1327	@k-@rw-ei@t-ei@k-	磕锐nonex磕
critical	kritikəl	1328	@k-@rw-ei@t-ei@k-a@l-	磕锐nonex劾了
critique	kri@ti:k	1329	@k-@rw-ei@t-ei@k-	磕锐nonex磕
croak	krəuk	1330	@k-@rw-eu@k-	磕nonex磕
crochet	krəuʃei	1331	@k-@rw-eu@sh-ei	磕nonexnonex
crockery	krɔkəri	1332	@k-@rw-eo@k-a@rw-ei	磕nonex劾锐
cronyism	krəuniizəm	1333	@k-@rw-@-@z-a@-	磕入伸
crook	kruk	1334	@k-@rw-u@k-	磕nonex磕
cross	krɔs	1335	@k-@rw-eo@s-	磕nonex嘶
crouch	krautʃ	1336	@k-@rw-ao@t-@sh-	磕nonexnonex什
crown	kraun	1337	@k-@rw-	磕入
crucial	kru:ʃiəl	1338	@k-@rw-u@sh-ei@l-	磕nonexnonex了
crudity	kru:diti	1339	@k-@rw-u@d-ei@t-ei	磕nonexnonexnonex
crumb	krʌm	1340	@k-@rw-a@-	磕若
crumble	krʌmbl	1341	@k-@rw-a@-@b-@l-	磕若不了
crumple	krʌmpl	1342	@k-@rw-a@-@p-@l-	磕若扑了
crusade	kru:@seid	1343	@k-@rw-u@s-ei@d-	磕nonexnonex的
crust	krʌst	1344	@k-@rw-a@s-@t-	磕若嘶nonex
crutch	krʌtʃ	1345	@k-@rw-a@t-@sh-	磕若nonex什
crux	krʌks	1346	@k-@rw-a@k-@s-	磕若磕嘶
cryogenic	kraiəu@dʒenik	1347	@k-@rw-ai@-eu@d-@r-@-ei@k-	磕nonexnonex的nonexnonex磕
cryptic	kriptik	1348	@k-@rw-ei@p-@t-ei@k-	磕锐扑nonex磕
cub	kʌb	1349	@k-a@b-	劾不
cubicle	kju:bikl	1350	@k-@y-u@b-ei@k-@l-	磕豫杯磕了
cue	kju:	1351	@k-@y-u	磕豫
cuisine	kwi(:)@zi:n	1352	@k-@v-ei@-@-@-@z-	磕危nonex
culinary	kʌlinəri	1353	@k-a@l-@-a@rw-ei	劾了啊锐
culmination	kʌlmi@neiʃ(ə)n	1354	@k-a@l-@-@-ei@sh-@-a@-	劾了nonex什啊
culpable	kʌlpəbl	1355	@k-a@l-@p-a@b-@l-	劾了趴不了
cult	kʌlt	1356	@k-a@l-@t-	劾了nonex
cultivate	kʌltiveit	1357	@k-a@l-@t-ei@v-ei@t-	劾了nonex危nonex
cultivated	kʌltiveitid	1358	@k-a@l-@t-ei@v-ei@t-ei@d-	劾了nonex危nonex的
cumbersome	kʌmbəsəm	1359	@k-a@-@b-a@s-a@-	劾八刹
cumulus	kju:mjuləs	1360	@k-@y-u@-@y-u@l-a@s-	磕豫豫垃嘶
cunning	kʌniŋ	1361	@k-@-ei@ng-	磕nonexnonex
cupidity	kju(:)@piditi	1362	@k-@y-u@-@-@-@p-ei@d-ei@t-ei	磕豫胚nonexnonex
curator	kjuə@reitə	1363	@k-@y-o@rw-ei@t-a	磕哟锐他
curb	kə:b	1364	@k-a@b-	劾不
curdle	kə:dl	1365	@k-a@d-@l-	劾的了
curmudgeon	kə:@mʌdʒən	1366	@k-a@-a@d-@r-en	劾啊的人
curriculum	kə@rikjuləm	1367	@k-a@rw-ei@k-@y-u@l-a@-	劾锐磕豫垃
cursory	kə:səri	1368	@k-a@s-a@rw-ei	劾刹锐
curt	kə:t	1369	@k-a@t-	劾nonex
curtail	kə:@teil	1370	@k-a@t-ei@l-	劾nonex了
cushion	kuʃən	1371	@k-u@sh-en	枯申
custodian	kʌs@təudjən	1372	@k-a@s-@t-eu@d-@y-en	劾嘶偷的因
custody	kʌstədi	1373	@k-a@s-@t-a@d-ei	劾嘶他nonex
customary	kʌstəməri	1374	@k-a@s-@t-a@-a@rw-ei	劾嘶他啊锐
cuticle	kju:tikl	1375	@k-@y-u@t-ei@k-@l-	磕豫nonex磕了
cutlery	kʌtləri	1376	@k-a@t-@l-a@rw-ei	劾nonex垃锐
cyclical	sɑiklikl	1377	@s-@-ei@k-@l-ei@k-@l-	嘶nonex磕雷磕了
cyclone	saiklon	1378	@s-ai@k-@l-	腮磕了
cylinder	silində	1379	@s-ei@l-@d-a	nonex了搭
cynic	sinik	1380	@s-@-ei@k-	嘶nonex磕
cypress	saipris	1381	@s-ai@p-@rw-ei@s-	腮扑锐嘶
cytology	sai@tɔlədʒi	1382	@s-ai@t-eo@l-a@d-@r-ei	腮汤垃的nonex
dabble	dæbl	1383	@d-e@b-@l-	丹不了
daft	dɑ:ft	1384	@d-a@f-@t-	搭肤nonex
dagger	dæɡə	1385	@d-e@-a	丹啊
daguerreotype	də@ɡeriəutaip	1386	@d-a@-e@rw-ei@-u@t-ai@p-	搭鳄锐无胎扑
dainty	deinti	1387	@d-@t-ei	的nonex
dally	dæli	1388	@d-e@l-ei	丹雷
damp	dæmp	1389	@d-e@-@p-	丹扑
damped	dæmpt	1390	@d-e@-@p-@t-	丹扑nonex
dampen	dæmpən	1391	@d-e@-@p-en	丹喷
dandy	dændi	1392	@d-e@d-ei	丹nonex
dapper	dæpə(r)	1393	@d-e@p-a@-@-	丹趴
dappled	dæpl(ə)d	1394	@d-e@p-@l-@-a@-@d-	丹扑了啊的
daredevil	deə@devl	1395	@d-e@-a@d-e@v-@l-	丹啊丹nonex了
dart	dɑ:t	1396	@d-a@t-	搭nonex
daunt	dɔ:nt	1397	@d-@t-	的nonex
dawdle	dɔ:dl	1398	@d-eo@d-@l-	当的了
deactivate	di:@æktiveit	1399	@d-ei@-e@k-@t-ei@v-ei@t-	nonex鳄磕nonex危nonex
deaden	dedn	1400	@d-e@d-	丹的
deadlock	dedlɔk	1401	@d-e@d-@l-eo@k-	丹的郎磕
deadpan	dedpæn	1402	@d-e@d-@p-e	丹的攀
dealing	di:liŋ	1403	@d-ei@l-ei@ng-	nonex雷nonex
dearth	də:θ	1404	@d-a@s-	搭嘶
debacle	dei@bɑ:kl	1405	@d-ei@b-a@k-@l-	nonex八磕了
debark	di@bɑ:k	1406	@d-ei@b-a@k-	nonex八磕
debase	di@beis	1407	@d-ei@b-ei@s-	nonex杯嘶
debate	di@beit	1408	@d-ei@b-ei@t-	nonex杯nonex
debilitate	di@biliteit	1409	@d-ei@b-ei@l-ei@t-ei@t-	nonex杯雷nonexnonex
debouch	di@bautʃ	1410	@d-ei@b-ao@t-@sh-	nonex包nonex什
debrief	di@bri:f	1411	@d-ei@b-@rw-ei@f-	nonex不锐肤
debris	də@bri:	1412	@d-a@b-@rw-ei	搭不锐
debunk	di:@bʌŋk	1413	@d-ei@b-a@ng-@k-	nonex八nonex磕
debut	deibju:	1414	@d-ei@b-@y-u	nonex不豫
decadence	dekədəns	1415	@d-e@k-a@d-en@s-	丹劾灯嘶
deceit	di@si:t	1416	@d-ei@s-ei@t-	nonexnonexnonex
decency	di:snsi	1417	@d-ei@s-@s-ei	nonex嘶nonex
decent	di:snt	1418	@d-ei@s-@t-	nonex嘶nonex
deception	di@sepʃən	1419	@d-ei@s-e@p-@sh-en	nonex三扑申
decibel	desibel	1420	@d-e@s-ei@b-e@l-	丹nonex掰了
deciduous	di@sidʒjuəs	1421	@d-ei@s-ei@d-@r-@y-o@s-	nonexnonex的nonex哟嘶
decimate	desimeit	1422	@d-e@s-ei@-ei@t-	丹nonexnonexnonex
decipher	di@saifə	1423	@d-ei@s-ai@f-a	nonex腮发
declaim	di@kleim	1424	@d-ei@k-@l-ei@-	nonex磕雷
declamation	deklə@meiʃən	1425	@d-e@k-@l-a@-ei@sh-en	丹磕垃nonex申
decline	di@klain	1426	@d-ei@k-@l-	nonex磕了
decode	di:@kəud	1427	@d-ei@k-eu@d-	nonex抠的
decompose	di:kəm@pəuz	1428	@d-ei@k-a@-@p-eu@z-	nonex劾nonexnonex
decomposition	di:kɔmpə@ziʃən	1429	@d-ei@k-eo@-@p-a@z-ei@sh-en	nonex侃趴贼申
decorate	dekə@ret	1430	@d-e@k-a@rw-e@t-	丹劾软nonex
decorum	di@kɔ:rəm	1431	@d-ei@k-eo@rw-a@-	nonex侃若
decrepit	di@krepit	1432	@d-ei@k-@rw-e@p-ei@t-	nonex磕软胚nonex
decry	di@krai	1433	@d-ei@k-@rw-ai	nonex磕nonex
dedication	dedi@keiʃən	1434	@d-e@d-ei@k-ei@sh-en	丹nonexnonex申
deduce	di@dju:s	1435	@d-ei@d-@y-u@s-	nonex的豫嘶
deduct	di@dʌkt	1436	@d-ei@d-a@k-@t-	nonex搭磕nonex
